original,ISO2,city
belgique,BE,
france,FR,
maroc,MA,
royaume unie,GB,
royaume-uni,GB,
paris,FR,
chine,CN,
belgium,BE,
usa,US,
bruxelles,BE,1
allemagne,DE,
grande-bretagne,GB,
suisse,CH,
angleterre,GB,
germany,DE,
italie,IT,
pays-bas,NL,
sucde,SE,
belgien,BE,
pologne,PL,
italy,IT,
danemark,DK,
b,BE,
brussels,BE,1
algerie,DZ,
canada,CA,
royaume uni,GB,
norway,NO,
jordanie,JO,
egypte,EG,
blegium,BE,
namibie,"NA",
irlande,IR,
espagne,ES,
etats-unis,US,
portugal,PT,
grece,GR,
tokyo,JP,1
begique,BE,
japon,JP,
senegal,SN,
