"Time","41R001"
2022-01-13 00:00:00,1040
2022-01-13 01:00:00,1040
2022-01-13 02:00:00,1040
2022-01-13 03:00:00,1040
2022-01-13 04:00:00,1040
2022-01-13 05:00:00,1040
2022-01-13 06:00:00,1040
2022-01-13 07:00:00,1040
2022-01-13 08:00:00,1040
2022-01-13 09:00:00,1040
2022-01-13 10:00:00,1040
2022-01-13 11:00:00,1040
2022-01-13 12:00:00,1040
2022-01-13 13:00:00,1039
2022-01-13 14:00:00,1039
2022-01-13 15:00:00,1039
2022-01-13 16:00:00,1038
2022-01-13 17:00:00,1038
2022-01-13 18:00:00,1038
2022-01-13 19:00:00,1038
2022-01-13 20:00:00,1038
2022-01-13 21:00:00,1038
2022-01-13 22:00:00,1038
2022-01-13 23:00:00,1037
2022-01-14 00:00:00,1037
2022-01-14 01:00:00,1037
2022-01-14 02:00:00,1036
2022-01-14 03:00:00,1036
2022-01-14 04:00:00,1036
2022-01-14 05:00:00,1036
2022-01-14 06:00:00,1035
2022-01-14 07:00:00,1035
2022-01-14 08:00:00,1035
2022-01-14 09:00:00,1035
2022-01-14 10:00:00,1035
2022-01-14 11:00:00,1035
2022-01-14 12:00:00,1034
2022-01-14 13:00:00,1034
2022-01-14 14:00:00,1033
2022-01-14 15:00:00,1033
2022-01-14 16:00:00,1033
2022-01-14 17:00:00,1033
2022-01-14 18:00:00,1032
2022-01-14 19:00:00,1032
2022-01-14 20:00:00,1032
2022-01-14 21:00:00,1031
2022-01-14 22:00:00,1031
2022-01-14 23:00:00,1031
2022-01-15 00:00:00,1031
2022-01-15 01:00:00,1030
2022-01-15 02:00:00,1029
2022-01-15 03:00:00,1029
2022-01-15 04:00:00,1028
2022-01-15 05:00:00,1028
2022-01-15 06:00:00,1027
2022-01-15 07:00:00,1027
2022-01-15 08:00:00,1027
2022-01-15 09:00:00,1027
2022-01-15 10:00:00,1027
2022-01-15 11:00:00,1026
2022-01-15 12:00:00,1026
2022-01-15 13:00:00,1025
2022-01-15 14:00:00,1024
2022-01-15 15:00:00,1024
2022-01-15 16:00:00,1023
2022-01-15 17:00:00,1023
2022-01-15 18:00:00,1023
2022-01-15 19:00:00,1023
2022-01-15 20:00:00,1023
2022-01-15 21:00:00,1022
2022-01-15 22:00:00,1023
2022-01-15 23:00:00,1023
2022-01-16 00:00:00,1023
2022-01-16 01:00:00,1022
2022-01-16 02:00:00,1022
2022-01-16 03:00:00,1022
2022-01-16 04:00:00,1022
2022-01-16 05:00:00,1022
2022-01-16 06:00:00,1022
2022-01-16 07:00:00,1023
2022-01-16 08:00:00,1024
2022-01-16 09:00:00,1024
2022-01-16 10:00:00,1024
2022-01-16 11:00:00,1025
2022-01-16 12:00:00,1025
2022-01-16 13:00:00,1025
2022-01-16 14:00:00,1025
2022-01-16 15:00:00,1025
2022-01-16 16:00:00,1026
2022-01-16 17:00:00,1026
2022-01-16 18:00:00,1027
2022-01-16 19:00:00,1028
2022-01-16 20:00:00,1029
2022-01-16 21:00:00,1029
2022-01-16 22:00:00,1030
2022-01-16 23:00:00,1030
2022-01-17 00:00:00,1031
2022-01-17 01:00:00,1031
2022-01-17 02:00:00,1031
2022-01-17 03:00:00,1031
2022-01-17 04:00:00,1031
2022-01-17 05:00:00,1031
2022-01-17 06:00:00,1031
2022-01-17 07:00:00,1032
2022-01-17 08:00:00,1033
2022-01-17 09:00:00,1033
2022-01-17 10:00:00,1034
2022-01-17 11:00:00,1034
2022-01-17 12:00:00,1034
2022-01-17 13:00:00,1034
2022-01-17 14:00:00,1034
2022-01-17 15:00:00,1034
2022-01-17 16:00:00,1035
2022-01-17 17:00:00,1035
2022-01-17 18:00:00,1036
2022-01-17 19:00:00,1036
2022-01-17 20:00:00,1036
2022-01-17 21:00:00,1037
2022-01-17 22:00:00,1037
2022-01-17 23:00:00,1037

