daily,index,cumsum,cs_mv14d,d_mv14d,cs_savgol,d_savgol,index_origin,cumsum_origin,cs_mv14d_origin,cs_savgol_origin
7373,660,2027483,2031395.7142857143,7440.142857142957,2026398.468806466,6195.411292176694,0,0,0.0,0.0
7389,661,2034872,2039247.5,7851.785714285681,2033236.7062011333,6838.237394667231,1,7389,7851.785714285681,6838.237394667231
7524,662,2042396,2047667.2142857143,8419.714285714319,2040247.5347229373,7010.828521803953,2,14913,16271.5,13849.065916471183
6519,663,2048915,2056411.5714285714,8744.357142857043,2047620.2659440644,7372.731221127091,3,21432,25015.857142857043,21221.797137598274
2818,664,2051733,2065107.142857143,8695.571428571595,2055141.183263351,7520.917319286615,4,24250,33711.42857142864,28742.71445688489
4566,665,2056299,2074248.142857143,9141.0,2062311.8872344058,7170.703971054871,5,28816,42852.42857142864,35913.41842793976
13298,666,2069597,2084708.357142857,10460.214285714086,2070974.477615579,8662.590381173184,6,42114,53312.642857142724,44576.008809112944
12819,667,2082416,2096650.9285714286,11942.571428571595,2080866.3024541026,9891.82483852352,7,54933,65255.21428571432,54467.833647636464
15046,668,2097462,2109926.214285714,13275.285714285448,2092495.8710869728,11629.568632870214,8,69979,78530.49999999977,66097.40228050668
16061,669,2113523,2124352.5714285714,14426.357142857276,2105621.5588664934,13125.687779520638,9,86040,92956.85714285704,79223.09006002732
12291,670,2125814,2140013.4285714286,15660.857142857276,2120539.9515781915,14918.392711698078,10,98331,108617.71428571432,94141.4827717254
4070,671,2129884,2156569.1428571427,16555.714285714086,2136795.3601605943,16255.408582402859,11,102401,125173.4285714284,110396.89135412825
9086,672,2138970,2173600.5,17031.357142857276,2152682.371156753,15887.0109961587,12,111487,142204.78571428568,126283.90235028695
27583,673,2166553,2192378.8571428573,18778.357142857276,2170876.500340085,18194.12918333197,13,139070,160983.14285714296,144478.03153361892
28126,674,2194679,2212505.714285714,20126.85714285681,2191450.261669963,20573.76132987812,14,167196,181109.99999999977,165051.79286349704
26047,675,2220726,2233782.785714286,21277.071428571828,2214260.0913409097,22809.82967094658,15,193243,202387.0714285716,187861.62253444362
23639,676,2244365,2256063.3571428573,22280.571428571362,2238202.260906748,23942.169565838296,16,216882,224667.64285714296,211803.79210028192
23802,677,2268167,2279740.714285714,23677.35714285681,2263123.1360118627,24920.875105114654,17,240684,248344.99999999977,236724.66720539657
15346,678,2283513,2304640.0,24899.285714285914,2287757.6990519213,24634.563040058594,18,256030,273244.2857142857,261359.23024545517
11225,679,2294738,2329961.1428571427,25321.142857142724,2309808.5089539443,22050.80990202306,19,267255,298565.4285714284,283410.0401474782
37756,680,2332494,2357791.9285714286,27830.785714285914,2333027.301392119,23218.792438174598,20,305011,326396.2142857143,306628.8325856528
31698,681,2364192,2387950.5,30158.571428571362,2358158.159270266,25130.85787814716,21,336709,356554.7857142857,331759.6904638
31149,682,2395341,2420598.1428571427,32647.642857142724,2385741.407337544,27583.24806727795,22,367858,389202.4285714284,359342.93853107793
30110,683,2425451,2455648.3571428573,35050.21428571455,2415713.4920439497,29972.084706405643,23,397968,424252.64285714296,389315.0232374836
31846,684,2457297,2493030.0714285714,37381.714285714086,2448802.1347385994,33088.64269464975,24,429814,461634.35714285704,422403.6659321333
21177,685,2478474,2531657.6428571427,38627.57142857136,2485260.350714552,36458.2159759528,25,450991,500261.9285714284,458861.8819080861
14992,686,2493466,2570965.3571428573,39307.71428571455,2524146.5647732085,38886.214058656245,26,465983,539569.642857143,497748.0959667424
62718,687,2556184,2613002.0714285714,42036.714285714086,2567489.041331115,43342.47655790672,27,528701,581606.357142857,541090.5725246491
60715,688,2616899,2657239.1428571427,44237.07142857136,2614421.8808383886,46932.8395072734,28,589416,625843.4285714284,588023.4120319225
60894,689,2677793,2703162.5714285714,45923.42857142864,2664689.600167207,50267.71932881838,29,650310,671766.857142857,638291.1313607409
57275,690,2735068,2750328.8571428573,47166.285714285914,2717332.970088043,52643.36992083583,30,707585,718933.142857143,690934.5012815767
56443,691,2791511,2798179.3571428573,47850.5,2771545.8818341224,54212.91174607957,31,764028,766783.642857143,745147.4130276563
32788,692,2824299,2846175.8571428573,47996.5,2826084.222590402,54538.34075627942,32,796816,814780.142857143,799685.7537839357
20747,693,2845046,2894044.785714286,47868.92857142864,2879637.874959422,53553.65236902004,33,817563,862649.0714285716,853239.4061529557
75962,694,2921008,2941006.714285714,46961.92857142817,2932325.553498737,52687.67853931524,34,893525,909610.9999999998,905927.084692271
62503,695,2983511,2986255.5,45248.785714285914,2981823.6272229943,49498.073724257294,35,956028,954859.7857142857,955425.1584165283
54758,696,3038269,3029358.0,43102.5,3028564.83996668,46741.21274368558,36,1010786,997962.2857142857,1002166.3711602138
47510,697,3085779,3070217.214285714,40859.214285714086,3072064.5790762594,43499.739109579474,37,1058296,1038821.4999999998,1045666.1102697933
41425,698,3127204,3108643.9285714286,38426.71428571455,3112591.365957405,40526.786881145556,38,1099721,1077248.2142857143,1086192.8971509389
23221,699,3150425,3145619.6428571427,36975.714285714086,3150483.845898298,37892.47994089313,39,1122942,1114223.9285714284,1124085.377091832
13206,700,3163631,3181634.0,36014.357142857276,3186441.1755971825,35957.329698884394,40,1136148,1150238.2857142857,1160042.7067907164
50020,701,3213651,3214181.0,32547.0,3220775.7910548183,34334.61545763584,41,1186168,1182785.2857142857,1194377.3222483522
36731,702,3250382,3243649.285714286,29468.285714285914,3250485.330651886,29709.539597067516,42,1222899,1212253.5714285716,1224086.8618454197
30846,703,3281228,3270404.5714285714,26755.28571428545,3276959.5816079066,26474.250956020784,43,1253745,1239008.857142857,1250561.1128014405
25869,704,3307097,3294780.4285714286,24375.857142857276,3300310.8377394043,23351.256131497677,44,1279614,1263384.7142857143,1273912.3689329382
22388,705,3329485,3317067.214285714,22286.78571428545,3321317.1191584417,21006.281419037376,45,1302002,1285671.4999999998,1294918.6503519756
12474,706,3341959,3338177.1428571427,21109.928571428638,3340909.638710698,19592.519552256446,46,1314476,1306781.4285714284,1314511.169904232
7288,707,3349247,3358689.9285714286,20512.785714285914,3360683.8040109603,19774.16530026216,47,1321764,1327294.2142857143,1334285.3352044942
27419,708,3376666,3376807.5,18117.571428571362,3380342.6624296624,19658.858418702148,48,1349183,1345411.7857142857,1353944.1936231963
19401,709,3396067,3393124.8571428573,16317.357142857276,3396228.208901859,15885.546472196467,49,1368584,1361729.142857143,1369829.7400953928
16776,710,3412843,3407996.714285714,14871.85714285681,3410508.77265032,14280.563748461194,50,1385360,1376600.9999999998,1384110.303843854
14198,711,3427041,3421683.4285714286,13686.714285714552,3423209.514092441,12700.7414421211,51,1399558,1390287.7142857143,1396811.045285975
12178,712,3439219,3434322.214285714,12638.785714285448,3434809.720377673,11600.206285231747,52,1411736,1402926.4999999998,1408411.2515712068
6745,713,3445964,3446391.1428571427,12068.928571428638,3445955.177663493,11145.45728582004,53,1418481,1414995.4285714284,1419556.7088570269
4846,714,3450810,3458149.0,11757.857142857276,3457539.158081941,11583.98041844787,54,1423327,1426753.2857142857,1431140.6892754748
16487,715,3467297,3468730.0,10581.0,3469313.79868414,11774.64060219936,55,1439814,1437334.2857142857,1442915.329877674
11528,716,3478825,3478495.3571428573,9765.357142857276,3478794.675237503,9480.876553362701,56,1451342,1447099.642857143,1452396.2064310368
10609,717,3489434,3487606.285714286,9110.928571428638,3487756.672477394,8961.997239890974,57,1461951,1456210.5714285716,1461358.2036709278
9277,718,3498711,3496178.9285714286,8572.642857142724,3496107.3534490885,8350.680971694645,58,1471228,1464783.2142857143,1469708.8846426224
7717,719,3506428,3504297.214285714,8118.285714285448,3504105.427567646,7998.074118557386,59,1478945,1472901.4999999998,1477706.9587611798
4496,720,3510924,3512174.214285714,7877.0,3511661.2017330737,7555.774165427778,60,1483441,1480778.4999999998,1485262.7329266076
2933,721,3513857,3519872.4285714286,7698.214285714552,3518826.837149737,7165.635416663252,61,1486374,1488476.7142857143,1492428.3683432708
